,0,1,2
0,1,2,inf
1,1,2,inf
2,1,2,inf
3,1,2,inf
5,1,2,inf
6,1,2,inf
7,1,2,inf
8,1,2,inf
9,1,2,inf
12,1,2,inf
13,1,2,inf
14,1,2,inf
18,1,2,inf
19,1,2,inf
21,1,2,inf
22,1,2,inf
23,1,2,inf
25,1,2,inf
26,1,2,inf
27,1,2,inf
28,1,2,inf
30,1,2,inf
32,1,2,inf
33,1,2,inf
34,1,2,inf
35,1,2,inf
37,1,2,inf
38,1,2,inf
39,1,2,inf
42,1,2,inf
43,1,2,inf
44,1,2,inf
45,1,2,inf
47,1,2,inf
48,1,2,inf
49,1,2,inf
1551,2,3,inf
1552,2,3,inf
1553,2,3,inf
1554,2,3,inf
1555,2,3,inf
1556,2,3,inf
1557,2,3,inf
1558,2,3,inf
1559,2,3,inf
1562,2,3,inf
1563,2,3,inf
1564,2,3,inf
1566,2,3,inf
1567,2,3,inf
1569,2,3,inf
1570,2,3,inf
1571,2,3,inf
1572,2,3,inf
1574,2,3,inf
1575,2,3,inf
1576,2,3,inf
1578,2,3,inf
1579,2,3,inf
1580,2,3,inf
1581,2,3,inf
1582,2,3,inf
1583,2,3,inf
1584,2,3,inf
1585,2,3,inf
1586,2,3,inf
1587,2,3,inf
1589,2,3,inf
1590,2,3,inf
1591,2,3,inf
1592,2,3,inf
1594,2,3,inf
1595,2,3,inf
1597,2,3,inf
1598,2,3,inf
1599,2,3,inf
3052,3,4,inf
3054,3,4,inf
3058,3,4,inf
3059,3,4,inf
3060,3,4,inf
3064,3,4,inf
3065,3,4,inf
3066,3,4,inf
3067,3,4,inf
3068,3,4,inf
3069,3,4,inf
3070,3,4,inf
3072,3,4,inf
3073,3,4,inf
3074,3,4,inf
3076,3,4,inf
3080,3,4,inf
3082,3,4,inf
3083,3,4,inf
3085,3,4,inf
3086,3,4,inf
3087,3,4,inf
3088,3,4,inf
3089,3,4,inf
3090,3,4,inf
3091,3,4,inf
3094,3,4,inf
3095,3,4,inf
3096,3,4,inf
3097,3,4,inf
3098,3,4,inf
4500,4,5,inf
4501,4,5,inf
4502,4,5,inf
4503,4,5,inf
4504,4,5,inf
4505,4,5,inf
4506,4,5,inf
4507,4,5,inf
4508,4,5,inf
4509,4,5,inf
4511,4,5,inf
4512,4,5,inf
4513,4,5,inf
4514,4,5,inf
4515,4,5,inf
4516,4,5,inf
4517,4,5,inf
4518,4,5,inf
4519,4,5,inf
4520,4,5,inf
4521,4,5,inf
4522,4,5,inf
4525,4,5,inf
4526,4,5,inf
4528,4,5,inf
4529,4,5,inf
4531,4,5,inf
4532,4,5,inf
4533,4,5,inf
4535,4,5,inf
4537,4,5,inf
4539,4,5,inf
4540,4,5,inf
4541,4,5,inf
4542,4,5,inf
4543,4,5,inf
4545,4,5,inf
4546,4,5,inf
4547,4,5,inf
5900,5,6,inf
5901,5,6,inf
5902,5,6,inf
5903,5,6,inf
5904,5,6,inf
5905,5,6,inf
5906,5,6,inf
5907,5,6,inf
5908,5,6,inf
5909,5,6,inf
5910,5,6,inf
5912,5,6,inf
5914,5,6,inf
5915,5,6,inf
5916,5,6,inf
5917,5,6,inf
5918,5,6,inf
5919,5,6,inf
5920,5,6,inf
5921,5,6,inf
5923,5,6,inf
5924,5,6,inf
5925,5,6,inf
5926,5,6,inf
5927,5,6,inf
5928,5,6,inf
5929,5,6,inf
5930,5,6,inf
5932,5,6,inf
5934,5,6,inf
5936,5,6,inf
5938,5,6,inf
5939,5,6,inf
5940,5,6,inf
5942,5,6,inf
5943,5,6,inf
5945,5,6,inf
5948,5,6,inf
5949,5,6,inf
7250,6,7,inf
7251,6,7,inf
7252,6,7,inf
7254,6,7,inf
7255,6,7,inf
7257,6,7,inf
7258,6,7,inf
7259,6,7,inf
7262,6,7,inf
7264,6,7,inf
7265,6,7,inf
7266,6,7,inf
7267,6,7,inf
7268,6,7,inf
7270,6,7,inf
7272,6,7,inf
7273,6,7,inf
7274,6,7,inf
7275,6,7,inf
7277,6,7,inf
7278,6,7,inf
7279,6,7,inf
7280,6,7,inf
7281,6,7,inf
7282,6,7,inf
7283,6,7,inf
7284,6,7,inf
7285,6,7,inf
7287,6,7,inf
7288,6,7,inf
7289,6,7,inf
7291,6,7,inf
7292,6,7,inf
7293,6,7,inf
7294,6,7,inf
7295,6,7,inf
7296,6,7,inf
7298,6,7,inf
8551,7,8,inf
8552,7,8,inf
8553,7,8,inf
8554,7,8,inf
8555,7,8,inf
8556,7,8,inf
8558,7,8,inf
8560,7,8,inf
8561,7,8,inf
8562,7,8,inf
8566,7,8,inf
8568,7,8,inf
8569,7,8,inf
8570,7,8,inf
8572,7,8,inf
8574,7,8,inf
8575,7,8,inf
8577,7,8,inf
8578,7,8,inf
8579,7,8,inf
8580,7,8,inf
8581,7,8,inf
8582,7,8,inf
8583,7,8,inf
8584,7,8,inf
8585,7,8,inf
8587,7,8,inf
8588,7,8,inf
8589,7,8,inf
8590,7,8,inf
8591,7,8,inf
8594,7,8,inf
8595,7,8,inf
8596,7,8,inf
8597,7,8,inf
8598,7,8,inf
9800,8,9,inf
9801,8,9,inf
9803,8,9,inf
9804,8,9,inf
9805,8,9,inf
9806,8,9,inf
9807,8,9,inf
9808,8,9,inf
9809,8,9,inf
9810,8,9,inf
9811,8,9,inf
9812,8,9,inf
9813,8,9,inf
9814,8,9,inf
9815,8,9,inf
9816,8,9,inf
9817,8,9,inf
9818,8,9,inf
9819,8,9,inf
9820,8,9,inf
9821,8,9,inf
9822,8,9,inf
9823,8,9,inf
